Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2014;Dic;lunes, 1 de diciembre de 2014;316;Niño;0.7;2014Dic;72;24.4;4;13.97;1;1101.5;Lluvioso;55;22;19;5;2;0;0;NIÑO DÉBIL
2015;Ene;jueves, 1 de enero de 2015;503;Niño;0.6;2015Ene;73;24.6;1.9;14.03;2;367.2;Menos lluvioso;26;3;3;1;0;0;0;NIÑO DÉBIL
2015;Feb;domingo, 1 de febrero de 2015;86;Niño;0.6;2015Feb;74;26.5;4.7;14.63;0;307.1;Menos lluvioso;36;1;0;0;0;0;0;NIÑO DÉBIL
2015;Mar;domingo, 1 de marzo de 2015;79;Niño;0.6;2015Mar;75;25.3;6.4;14.81;0;967.4;Lluvioso;59;14;41;1;31;0;0;NIÑO DÉBIL
2015;Abr;miércoles, 1 de abril de 2015;108;Niño;0.8;2015Abr;76;23;7.3;14.92;1;468.1;Lluvioso;64;4;8;2;2;0;0;NIÑO DÉBIL
2015;May;viernes, 1 de mayo de 2015;70;Niño;1;2015May;77;26.9;5.9;15.08;2;173.9;Menos lluvioso;70;5;2;0;0;0;0;NIÑO MODERADO
2015;Jun;lunes, 1 de junio de 2015;84;Niño;1.2;2015Jun;78;22.6;6;14.08;4;603.8;Lluvioso;46;12;13;1;0;0;0;NIÑO MODERADO
2015;Jul;miércoles, 1 de julio de 2015;102;Niño;1.5;2015Jul;79;22.3;6.9;14.33;3;208.9;Menos lluvioso;39;4;0;1;0;0;0;NIÑO FUERTE
2015;Ago;sábado, 1 de agosto de 2015;62;Niño;1.8;2015Ago;80;22;5.5;14.52;2;204.3;Menos lluvioso;37;7;5;0;0;0;0;NIÑO FUERTE
2015;Sep;martes, 1 de septiembre de 2015;71;Niño;2.1;2015Sep;81;24.1;3.3;14.62;3;692;Lluvioso;40;3;0;2;0;0;0;NIÑO FUERTE
2015;Oct;jueves, 1 de octubre de 2015;121;Niño;2.4;2015Oct;82;25.4;5.3;14.85;3;484;Lluvioso;44;0;0;1;11;0;4;NIÑO FUERTE
2015;Nov;domingo, 1 de noviembre de 2015;189;Niño;2.5;2015Nov;83;25.3;7.2;14.99;3;1372.1;Lluvioso;47;7;2;0;36;0;2;NIÑO FUERTE
2015;Dic;martes, 1 de diciembre de 2015;356;Niño;2.6;2015Dic;84;24.9;3.6;14.5;4;18.6;Menos lluvioso;37;0;0;1;0;0;0;NIÑO FUERTE
2016;Ene;viernes, 1 de enero de 2016;1101;Niño;2.5;2016Ene;85;27.3;3.1;15.4;2;66.6;Menos lluvioso;26;3;0;0;0;0;0;NIÑO FUERTE
2016;Feb;lunes, 1 de febrero de 2016;283;Niño;2.2;2016Feb;86;27.5;4.8;15.93;2;184.3;Menos lluvioso;39;3;0;0;0;0;0;NIÑO FUERTE
2016;Mar;martes, 1 de marzo de 2016;353;Niño;1.7;2016Mar;87;28.2;5.7;16.19;1;851.7;Lluvioso;87;3;1;5;8;0;2;NIÑO FUERTE
2016;Abr;viernes, 1 de abril de 2016;244;Niño;1;2016Abr;88;26.4;8.6;15.41;2;1409.9;Lluvioso;125;12;106;1;26;0;10;NIÑO MODERADO
2016;May;domingo, 1 de mayo de 2016;147;Niño;0.5;2016May;89;24.7;8;15.12;4;859.3;Lluvioso;131;6;1;3;9;0;0;NIÑO DÉBIL
2016;Jun;miércoles, 1 de junio de 2016;134;Neutro;0;2016Jun;90;24.4;6.8;14.35;5;258.8;Menos lluvioso;115;2;3;1;0;0;0;NEUTRO
2016;Jul;viernes, 1 de julio de 2016;123;Neutro;-0.3;2016Jul;91;22.6;7.4;14.26;2;474.3;Menos lluvioso;86;3;0;3;1;0;0;NEUTRO
2016;Ago;lunes, 1 de agosto de 2016;75;Niña;-0.6;2016Ago;92;23.4;5.2;14.32;4;406.2;Menos lluvioso;72;4;1;1;0;0;0;NIÑA DÉBIL
2016;Sep;jueves, 1 de septiembre de 2016;31;Niña;-0.7;2016Sep;93;24.1;5.4;14.37;3;678.7;Lluvioso;88;2;1;6;7;0;0;NIÑA DÉBIL
2016;Oct;sábado, 1 de octubre de 2016;46;Niña;-0.7;2016Oct;94;25.4;5;14.84;10;843;Lluvioso;79;4;0;1;30;0;1;NIÑA DÉBIL
2016;Nov;martes, 1 de noviembre de 2016;51;Niña;-0.7;2016Nov;95;26;6.5;14.45;3;1885;Lluvioso;62;22;25;1;35;0;0;NIÑA DÉBIL
2016;Dic;jueves, 1 de diciembre de 2016;57;Niña;-0.6;2016Dic;96;25;4;14.3;3;569.6;Lluvioso;38;1;0;0;0;0;0;NIÑA DÉBIL
2017;Ene;domingo, 1 de enero de 2017;105;Neutro;-0.3;2017Ene;97;24.4;2.2;14.06;3;427;Menos lluvioso;29;1;0;0;5;0;0;NEUTRO
