Año;Mes;Fecha;Dengue;ENOS C;ENOS;Añomes;No. Mes;Temperatura Máxima;Temperatura mínima;Temperatura promedio;Casos leptospirosis;Lluvia Acumulada;Temporada *;Casos ESI-IRAG;FRM;Familias Afectadas;Inundaciones;Encharcamiento;Damnificados inundaciones;Damnificados encharcamientos;Clasificación ONI
2022;Feb;martes, 1 de febrero de 2022;17;Niña;-1;2022Feb;158;26.2;5.1;14.77;8;1439.3;Lluvioso;137;4;4;0;9;0;0;NIÑA MODERADO
2022;Mar;martes, 1 de marzo de 2022;21;Niña;-1.3;2022Mar;159;26.4;4.2;15.06;12;1021.5;Lluvioso;212;15;20;0;44;0;111;NIÑA MODERADO
2022;Abr;viernes, 1 de abril de 2022;62;Niña;-1.6;2022Abr;160;27.7;5.5;14.92;12;1523.2;Lluvioso;216;35;38;0;38;0;288;NIÑA FUERTE
2022;May;domingo, 1 de mayo de 2022;61;Niña;-1.6;2022May;161;27.3;6.6;15.06;13;927.4;Lluvioso;379;24;18;0;10;0;107;NIÑA FUERTE
2022;Jun;miércoles, 1 de junio de 2022;27;Niña;-1.9;2022Jun;162;25;6;13.95;8;1534.9;Lluvioso;338;50;188;0;31;0;47;NIÑA FUERTE
2022;Jul;viernes, 1 de julio de 2022;69;Niña;-2.2;2022Jul;163;25.7;4;14.7;9;720.8;Lluvioso;219;18;39;0;5;0;0;NIÑA FUERTE
2022;Ago;lunes, 1 de agosto de 2022;62;Niña;-1.8;2022Ago;164;26;4.9;14.39;9;676.7;Lluvioso;191;11;7;0;3;0;0;NIÑA FUERTE
2022;Sep;jueves, 1 de septiembre de 2022;37;Niña;-1.8;2022Sep;165;26.3;4.4;14.21;10;848.9;Lluvioso;211;6;5;0;1;0;0;NIÑA FUERTE
2022;Oct;sábado, 1 de octubre de 2022;65;Niña;-1.7;2022Oct;166;28.7;6.5;14.61;12;2167.5;Lluvioso;188;27;26;1;19;0;52;NIÑA FUERTE
2022;Nov;martes, 1 de noviembre de 2022;55;Niña;-1.5;2022Nov;167;25.6;6.8;14.56;15;2065.1;Lluvioso;209;71;568;0;48;0;137;NIÑA FUERTE
2022;Dic;jueves, 1 de diciembre de 2022;75;Niña;-1.5;2022Dic;168;26.5;2.3;14.31;17;874.8;Lluvioso;164;26;61;1;15;0;4;NIÑA DÉBIL
2023;Ene;domingo, 1 de enero de 2023;25;Niña;-0,7;2023Ene;169;26.8;2.6;14.2;25;1714.1;Lluvioso;244;54;103;0;16;0;12;NIÑA DÉBIL
2023;Feb;miércoles, 1 de febrero de 2023;11;Neutro;-0,4;2023Feb;170;27.3;2;14.8;11;531.6;Menos lluvioso;285;13;14;0;7;0;7;NIÑA DÉBIL
2023;Mar;miércoles, 1 de marzo de 2023;11;Neutro;-0,1;2023Mar;171;26.3;7;15;11;1573.4;Lluvioso;391;71;89;0;37;0;1366;NIÑA DÉBIL
2023;Abr;sábado, 1 de abril de 2023;7;Neutro;0,2;2023Abr;172;26.1;6.7;15.2;7;1154.8;Lluvioso;455;16;10;0;7;0;0;NIÑA DÉBIL
2023;May;lunes, 1 de mayo de 2023;15;Neutro;0,5;2023May;173;27.8;6.8;15.8;15;1159.6;Lluvioso;520;9;6;0;13;0;0;NIÑA DÉBIL
2023;Jun;jueves, 1 de junio de 2023;6;Neutro;0,8;2023Jun;174;25.6;6.4;15.4;6;322.4;Menos lluvioso;341;9;6;0;2;0;0;NIÑA DÉBIL
